cancer,infiltrates,,rho,p,adj.p
LUAD,T cell CD4+,(non-regulatory)_QUANTISEQ,0.187867505,2.69E-05,0.000245666
LUAD,T cell CD4+,(non-regulatory)_XCELL,0.027395723,0.543948094,0.692297574
LUAD,T cell CD4+,central memory_XCELL,-0.126290709,0.00498127,0.021461401
LUAD,T cell CD4+,effector memory_XCELL,0.100457105,0.025714758,0.081408532
LUAD,T cell CD4+,memory activated_CIBERSORT,-0.139976119,0.001836732,0.00911135
LUAD,T cell CD4+,memory activated_CIBERSORT-ABS,-0.139075107,0.001966906,0.00960582
LUAD,T cell CD4+,memory resting_CIBERSORT,0.178233465,6.91E-05,0.000506364
LUAD,T cell CD4+,memory resting_CIBERSORT-ABS,0.141605737,0.001621152,0.008170608
LUAD,T cell CD4+,memory_XCELL,-0.112448501,0.01247721,0.044410409
LUAD,T cell CD4+,naive_CIBERSORT,-0.003801225,0.93290779,0.957218091
LUAD,T cell CD4+,naive_CIBERSORT-ABS,-0.003801225,0.93290779,0.957218091
LUAD,T cell CD4+,naive_XCELL,-0.093535218,0.037884682,0.113251003
LUAD,T cell CD4+,Th1_XCELL,-0.293774148,2.86E-11,9.01E-10
LUAD,T cell CD4+,Th2_XCELL,-0.11355045,0.011636039,0.042374017
LUAD,T cell CD4+,EPIC,0.236591824,1.06E-07,1.60E-06
LUAD,T cell CD4+,TIMER,0.041758664,0.35483962,0.537557339
LUAD,B cell memory,CIBERSORT,-0.010284598,0.819816115,0.897781336
LUAD,B cell memory,CIBERSORT-ABS,-0.022629262,0.616202307,0.751707469
LUAD,B cell memory,XCELL,-0.229337647,2.63E-07,5.41E-06
LUAD,B cell naive,CIBERSORT,0.089136081,0.047922271,0.122217873
LUAD,B cell naive,CIBERSORT-ABS,0.108271645,0.016172825,0.053209294
LUAD,B cell naive,XCELL,-0.032942005,0.465529203,0.630663448
LUAD,B cell plasma,CIBERSORT,-0.198147732,9.32E-06,0.000107285
LUAD,B cell plasma,CIBERSORT-ABS,-0.178119218,6.99E-05,0.00059673
LUAD,B cell plasma,XCELL,-0.313195665,1.11E-12,7.66E-11
LUAD,B cell,EPIC,-0.160264585,0.00035354,0.002487877
LUAD,B cell,MCPCOUNTER,-0.123818293,0.005908189,0.024271478
LUAD,B cell,QUANTISEQ,-0.044173516,0.327679149,0.495101696
LUAD,B cell,TIMER,-0.111006744,0.013658595,0.046983149
LUAD,B cell,XCELL,-0.177130354,7.68E-05,0.000641175
LUAD,Class-switched memory B cell,XCELL,-0.098448068,0.028840133,0.083969513
LUAD,T cell regulatory (Tregs),CIBERSORT,0.021553416,0.633074369,0.767362872
LUAD,T cell regulatory (Tregs),CIBERSORT-ABS,0.033657576,0.455888725,0.620923712
LUAD,T cell regulatory (Tregs),QUANTISEQ,-0.048634086,0.281145948,0.444222288
LUAD,T cell regulatory (Tregs),XCELL,-0.082426915,0.067453342,0.161209245
LUAD,Macrophage/Monocyte,MCPCOUNTER,-0.071947068,0.110601095,0.230378699
LUAD,Monocyte,CIBERSORT,0.118457039,0.008469118,0.027860478
LUAD,Monocyte,CIBERSORT-ABS,0.119246365,0.008038676,0.026628116
LUAD,Monocyte,MCPCOUNTER,-0.071947068,0.110601095,0.230378699
LUAD,Monocyte,QUANTISEQ,-0.13858531,0.00204116,0.008181795
LUAD,Monocyte,XCELL,0.007889886,0.861282432,0.914992695
LUAD,Neutrophil,CIBERSORT,0.045306277,0.315414963,0.476116891
LUAD,Neutrophil,CIBERSORT-ABS,0.036548478,0.418101989,0.59004334
LUAD,Neutrophil,MCPCOUNTER,0.012754673,0.777566046,0.864566443
LUAD,Neutrophil,QUANTISEQ,0.183933022,3.98E-05,0.000283257
LUAD,Neutrophil,TIMER,0.05365452,0.234378184,0.388188867
LUAD,Neutrophil,XCELL,-0.037350536,0.407953683,0.581826773
LUAD,Macrophage M0,CIBERSORT,-0.0457393,0.310807176,0.499957925
LUAD,Macrophage M0,CIBERSORT-ABS,-0.044774591,0.321133504,0.504444842
LUAD,Macrophage M1,CIBERSORT,-0.024487842,0.587529579,0.75485599
LUAD,Macrophage M1,CIBERSORT-ABS,-0.015983259,0.723333118,0.852652006
LUAD,Macrophage M1,QUANTISEQ,0.093935727,0.037066638,0.111597585
LUAD,Macrophage M1,XCELL,-0.092416121,0.040252016,0.117810778
LUAD,Macrophage M2,CIBERSORT,0.182818061,4.44E-05,0.000391637
LUAD,Macrophage M2,CIBERSORT-ABS,0.136639925,0.002362096,0.011810481
LUAD,Macrophage M2,QUANTISEQ,0.048624542,0.281240478,0.463583206
LUAD,Macrophage M2,TIDE,0.002325983,0.958915814,0.984938593
LUAD,Macrophage M2,XCELL,0.039606443,0.380205478,0.566062746
LUAD,Macrophage,EPIC,-0.04274712,0.343555354,0.531271166
LUAD,Macrophage,TIMER,0.137943171,0.002142395,0.011177712
LUAD,Macrophage,XCELL,-0.038844566,0.389444736,0.574120004
LUAD,Macrophage/Monocyte,MCPCOUNTER,-0.071947068,0.110601095,0.253919408
LUAD,Myeloid dendritic cell activated,CIBERSORT,0.123403847,0.006077912,0.030949932
LUAD,Myeloid dendritic cell activated,CIBERSORT-ABS,0.147340655,0.001033981,0.006874057
LUAD,Myeloid dendritic cell activated,XCELL,0.028016603,0.534854762,0.715900155
LUAD,Myeloid dendritic cell resting,CIBERSORT,0.158295786,0.00041858,0.003163583
LUAD,Myeloid dendritic cell resting,CIBERSORT-ABS,0.163269928,0.000272178,0.002195774
LUAD,Myeloid dendritic cell,MCPCOUNTER,0.12153992,0.006896595,0.034150035
LUAD,Myeloid dendritic cell,QUANTISEQ,-0.14097284,0.001701959,0.010719354
LUAD,Myeloid dendritic cell,TIMER,0.14347697,0.001402384,0.009153741
LUAD,Myeloid dendritic cell,XCELL,0.135763028,0.002521296,0.015212528
LUAD,NK cell activated,CIBERSORT,-0.088734856,0.048939551,0.148892364
LUAD,NK cell activated,CIBERSORT-ABS,-0.076482602,0.089816966,0.22237442
LUAD,NK cell resting,CIBERSORT,-0.092165595,0.040798779,0.131253607
LUAD,NK cell resting,CIBERSORT-ABS,-0.088583893,0.049326956,0.149437783
LUAD,NK cell,EPIC,-0.287079739,8.29E-11,5.41E-09
LUAD,NK cell,MCPCOUNTER,-0.188798423,2.45E-05,0.000283711
LUAD,NK cell,QUANTISEQ,0.019289352,0.669200399,0.826998084
LUAD,NK cell,XCELL,-0.004548813,0.919753547,0.96547229
LUAD,Plasmacytoid dendritic cell,XCELL,-0.230604374,2.25E-07,5.22E-06
LUAD,MDSC,TIDE,0.00147146,0.974002513,0.974358451
LUSC,T cell CD4+,(non-regulatory)_QUANTISEQ,0.415350487,2.56E-21,5.38E-19
LUSC,T cell CD4+,(non-regulatory)_XCELL,-0.015306141,0.738806991,0.857179382
LUSC,T cell CD4+,central memory_XCELL,0.123020781,0.007145422,0.029422326
LUSC,T cell CD4+,effector memory_XCELL,0.007154105,0.876159092,0.931857944
LUSC,T cell CD4+,memory activated_CIBERSORT,-0.004255702,0.926139912,0.953379322
LUSC,T cell CD4+,memory activated_CIBERSORT-ABS,-0.005846455,0.898659764,0.937323974
LUSC,T cell CD4+,memory resting_CIBERSORT,0.005502525,0.904592026,0.937323974
LUSC,T cell CD4+,memory resting_CIBERSORT-ABS,-0.058362244,0.203234194,0.379226907
LUSC,T cell CD4+,memory_XCELL,0.005625244,0.902474683,0.937323974
LUSC,T cell CD4+,naive_CIBERSORT,0.028787737,0.530518929,0.690035862
LUSC,T cell CD4+,naive_CIBERSORT-ABS,0.028738813,0.531218084,0.690035862
LUSC,T cell CD4+,naive_XCELL,-0.167398728,0.000240287,0.001560625
LUSC,T cell CD4+,Th1_XCELL,-0.189934647,2.97E-05,0.000260258
LUSC,T cell CD4+,Th2_XCELL,-0.014451758,0.752898722,0.866272907
LUSC,T cell CD4+,EPIC,0.249412748,3.38E-08,5.92E-07
LUSC,T cell CD4+,TIMER,-0.202382279,8.40E-06,9.45E-05
LUSC,B cell memory,CIBERSORT,-0.134904273,0.003155907,0.014448731
LUSC,B cell memory,CIBERSORT-ABS,-0.143883358,0.001629221,0.008598669
LUSC,B cell memory,XCELL,-0.238189387,1.41E-07,3.14E-06
LUSC,B cell naive,CIBERSORT,0.081831551,0.074174672,0.17240582
LUSC,B cell naive,CIBERSORT-ABS,0.059973288,0.191016835,0.339983125
LUSC,B cell naive,XCELL,0.001291713,0.977552541,0.990586575
LUSC,B cell plasma,CIBERSORT,-0.055639315,0.225155649,0.383673303
LUSC,B cell plasma,CIBERSORT-ABS,-0.118296517,0.009711328,0.035371893
LUSC,B cell plasma,XCELL,-0.325816181,2.94E-13,2.48E-11
LUSC,B cell,EPIC,-0.205724248,5.90E-06,7.73E-05
LUSC,B cell,MCPCOUNTER,-0.209058304,4.13E-06,5.81E-05
LUSC,B cell,QUANTISEQ,-0.191064957,2.66E-05,0.000246584
LUSC,B cell,TIMER,-0.155399161,0.000659763,0.004043709
LUSC,B cell,XCELL,-0.221347295,1.05E-06,1.81E-05
LUSC,Class-switched memory B cell,XCELL,-0.175864504,0.000112927,0.000903414
LUSC,T cell regulatory (Tregs),CIBERSORT,-0.184989141,4.81E-05,0.000424913
LUSC,T cell regulatory (Tregs),CIBERSORT-ABS,-0.200516074,1.02E-05,0.00011578
LUSC,T cell regulatory (Tregs),QUANTISEQ,-0.180833945,7.13E-05,0.000602095
LUSC,T cell regulatory (Tregs),XCELL,-0.041178845,0.369515882,0.545701206
LUSC,Macrophage/Monocyte,MCPCOUNTER,-0.117970228,0.009915592,0.031957685
LUSC,Monocyte,CIBERSORT,-0.098074005,0.032232637,0.084477846
LUSC,Monocyte,CIBERSORT-ABS,-0.143324667,0.001699528,0.007111185
LUSC,Monocyte,MCPCOUNTER,-0.117970228,0.009915592,0.031957685
LUSC,Monocyte,QUANTISEQ,-0.029934298,0.51426843,0.670235086
LUSC,Monocyte,XCELL,-0.098496768,0.031492775,0.083455855
LUSC,Neutrophil,CIBERSORT,-0.048076144,0.294707755,0.454324437
LUSC,Neutrophil,CIBERSORT-ABS,-0.069573072,0.129178046,0.254619537
LUSC,Neutrophil,MCPCOUNTER,0.151856366,0.000877212,0.004102256
LUSC,Neutrophil,QUANTISEQ,-0.030525519,0.50599088,0.661253835
LUSC,Neutrophil,TIMER,-0.238071353,1.43E-07,1.70E-06
LUSC,Neutrophil,XCELL,-0.084859329,0.064049595,0.148042248
LUSC,Macrophage M0,CIBERSORT,0.175047321,0.000121653,0.000973226
LUSC,Macrophage M0,CIBERSORT-ABS,0.106779226,0.019666666,0.067816088
LUSC,Macrophage M1,CIBERSORT,-0.122218673,0.007532931,0.032283992
LUSC,Macrophage M1,CIBERSORT-ABS,-0.166346615,0.000263276,0.001974573
LUSC,Macrophage M1,QUANTISEQ,-0.119748904,0.008846756,0.036607266
LUSC,Macrophage M1,XCELL,-0.106191238,0.020355539,0.068591137
LUSC,Macrophage M2,CIBERSORT,0.158449401,0.000513766,0.003502949
LUSC,Macrophage M2,CIBERSORT-ABS,-0.008730409,0.849169373,0.919678021
LUSC,Macrophage M2,QUANTISEQ,0.095207355,0.037651544,0.111597585
LUSC,Macrophage M2,TIDE,0.12196702,0.007658322,0.032588604
LUSC,Macrophage M2,XCELL,-0.035190987,0.443198207,0.628649939
LUSC,Macrophage,EPIC,-0.099394599,0.029969562,0.094145221
LUSC,Macrophage,TIMER,0.111818073,0.014549475,0.056542348
LUSC,Macrophage,XCELL,-0.086245707,0.059808744,0.156704134
LUSC,Macrophage/Monocyte,MCPCOUNTER,-0.117970228,0.009915592,0.040471804
LUSC,Myeloid dendritic cell activated,CIBERSORT,-0.017680164,0.700120664,0.839209745
LUSC,Myeloid dendritic cell activated,CIBERSORT-ABS,-0.034925563,0.44664711,0.64267059
LUSC,Myeloid dendritic cell activated,XCELL,-0.158376984,0.000516853,0.003865627
LUSC,Myeloid dendritic cell resting,CIBERSORT,0.083361646,0.068905915,0.189388603
LUSC,Myeloid dendritic cell resting,CIBERSORT-ABS,0.054458218,0.235170067,0.434067116
LUSC,Myeloid dendritic cell,MCPCOUNTER,-0.145470995,0.001443738,0.009338777
LUSC,Myeloid dendritic cell,QUANTISEQ,-0.016792123,0.714507555,0.847705644
LUSC,Myeloid dendritic cell,TIMER,-0.002951041,0.948745099,0.973896511
LUSC,Myeloid dendritic cell,XCELL,-0.115960422,0.011260006,0.051168886
LUSC,NK cell activated,CIBERSORT,-0.169453444,0.000200702,0.001757363
LUSC,NK cell activated,CIBERSORT-ABS,-0.216935745,1.73E-06,2.89E-05
LUSC,NK cell resting,CIBERSORT,0.185248117,4.69E-05,0.000518092
LUSC,NK cell resting,CIBERSORT-ABS,0.183796449,5.39E-05,0.000577478
LUSC,NK cell,EPIC,-0.104381548,0.022609029,0.089686645
LUSC,NK cell,MCPCOUNTER,-0.214835989,2.19E-06,3.57E-05
LUSC,NK cell,QUANTISEQ,0.031629961,0.490717085,0.676266539
LUSC,NK cell,XCELL,0.027967838,0.54229686,0.721053973
LUSC,Plasmacytoid dendritic cell,XCELL,-0.223574388,8.11E-07,1.53E-05
LUSC,MDSC,TIDE,0.19887046,1.21E-05,6.91E-05
STAD,T cell CD4+,(non-regulatory)_QUANTISEQ,-0.084388763,0.100927345,0.226622889
STAD,T cell CD4+,(non-regulatory)_XCELL,0.071486579,0.164870579,0.327922684
STAD,T cell CD4+,central memory_XCELL,0.021656472,0.674293216,0.803033509
STAD,T cell CD4+,effector memory_XCELL,0.060373566,0.240982188,0.4240748
STAD,T cell CD4+,memory activated_CIBERSORT,0.108311943,0.03504413,0.107696594
STAD,T cell CD4+,memory activated_CIBERSORT-ABS,0.11012438,0.032086283,0.099578121
STAD,T cell CD4+,memory resting_CIBERSORT,0.132987854,0.009542871,0.036000051
STAD,T cell CD4+,memory resting_CIBERSORT-ABS,0.10720431,0.036963514,0.111956798
STAD,T cell CD4+,memory_XCELL,0.173927385,0.000671949,0.003897384
STAD,T cell CD4+,naive_CIBERSORT,-0.031536166,0.540492813,0.690690612
STAD,T cell CD4+,naive_CIBERSORT-ABS,-0.031536166,0.540492813,0.690690612
STAD,T cell CD4+,naive_XCELL,-0.155567925,0.002388731,0.011230601
STAD,T cell CD4+,Th1_XCELL,-0.048764328,0.343757171,0.528212238
STAD,T cell CD4+,Th2_XCELL,0.080557336,0.117430789,0.253360948
STAD,T cell CD4+,EPIC,0.214572943,2.52E-05,0.000233824
STAD,T cell CD4+,TIMER,-0.106526869,0.038180822,0.113251003
STAD,B cell memory,CIBERSORT,-0.147627001,0.003973029,0.01745377
STAD,B cell memory,CIBERSORT-ABS,-0.148186849,0.003836027,0.017049007
STAD,B cell memory,XCELL,-0.02449905,0.634472298,0.767736066
STAD,B cell naive,CIBERSORT,-0.021682069,0.673930335,0.791633778
STAD,B cell naive,CIBERSORT-ABS,0.013682571,0.790621398,0.877185784
STAD,B cell naive,XCELL,0.03980745,0.439691175,0.604077338
STAD,B cell plasma,CIBERSORT,0.005021219,0.922384588,0.960290804
STAD,B cell plasma,CIBERSORT-ABS,0.020374955,0.692555934,0.80157424
STAD,B cell plasma,XCELL,0.10246771,0.046207362,0.120265736
STAD,B cell,EPIC,-0.059501642,0.247856625,0.411634595
STAD,B cell,MCPCOUNTER,-0.060263852,0.241839758,0.406633222
STAD,B cell,QUANTISEQ,0.025829393,0.616183033,0.751707469
STAD,B cell,TIMER,0.022823167,0.657831072,0.778740833
STAD,B cell,XCELL,0.0239704,0.64180307,0.769353837
STAD,Class-switched memory B cell,XCELL,0.046391849,0.367771966,0.544847357
STAD,T cell regulatory (Tregs),CIBERSORT,-0.032918089,0.522885948,0.681635198
STAD,T cell regulatory (Tregs),CIBERSORT-ABS,-0.023425029,0.649402312,0.773582691
STAD,T cell regulatory (Tregs),QUANTISEQ,-0.000388476,0.993985737,0.997092493
STAD,T cell regulatory (Tregs),XCELL,0.096796545,0.059751073,0.146486501
STAD,Macrophage/Monocyte,MCPCOUNTER,0.039045255,0.448505931,0.611249512
STAD,Monocyte,CIBERSORT,-0.11146634,0.030035992,0.080633875
STAD,Monocyte,CIBERSORT-ABS,-0.095106688,0.06437003,0.148042248
STAD,Monocyte,MCPCOUNTER,0.039045255,0.448505931,0.611249512
STAD,Monocyte,QUANTISEQ,-0.275417797,5.04E-08,7.07E-07
STAD,Monocyte,XCELL,0.002137369,0.966919028,0.987623932
STAD,Neutrophil,CIBERSORT,0.151687714,0.003072009,0.011722787
STAD,Neutrophil,CIBERSORT-ABS,0.160310285,0.001742881,0.007166846
STAD,Neutrophil,MCPCOUNTER,0.153778052,0.002684553,0.010410826
STAD,Neutrophil,QUANTISEQ,0.245425642,1.32E-06,1.31E-05
STAD,Neutrophil,TIMER,0.004641668,0.928235058,0.964636433
STAD,Neutrophil,XCELL,0.119685003,0.019768897,0.058936025
STAD,Macrophage M0,CIBERSORT,0.05764876,0.262915937,0.436979397
STAD,Macrophage M0,CIBERSORT-ABS,0.073326771,0.15423726,0.311782416
STAD,Macrophage M1,CIBERSORT,0.018364077,0.721571311,0.85224958
STAD,Macrophage M1,CIBERSORT-ABS,0.036100199,0.483488478,0.660804298
STAD,Macrophage M1,QUANTISEQ,0.249471991,8.71E-07,1.16E-05
STAD,Macrophage M1,XCELL,0.012410334,0.809698782,0.903009794
STAD,Macrophage M2,CIBERSORT,0.025674989,0.618293896,0.774480872
STAD,Macrophage M2,CIBERSORT-ABS,0.028926006,0.574534012,0.741180866
STAD,Macrophage M2,QUANTISEQ,-0.076827684,0.135452312,0.291295294
STAD,Macrophage M2,TIDE,-0.205682254,5.48E-05,0.000469627
STAD,Macrophage M2,XCELL,0.176567942,0.000553924,0.003734321
STAD,Macrophage,EPIC,-0.010357603,0.840713942,0.915477977
STAD,Macrophage,TIMER,-0.059541054,0.247542966,0.424157622
STAD,Macrophage,XCELL,0.079238855,0.123574352,0.271591983
STAD,Macrophage/Monocyte,MCPCOUNTER,0.039045255,0.448505931,0.633184844
STAD,Myeloid dendritic cell activated,CIBERSORT,0.046027261,0.371552554,0.580391504
STAD,Myeloid dendritic cell activated,CIBERSORT-ABS,0.043423379,0.399246191,0.606043901
STAD,Myeloid dendritic cell activated,XCELL,-0.121240903,0.018214502,0.075160991
STAD,Myeloid dendritic cell resting,CIBERSORT,0.039514735,0.443064643,0.640845294
STAD,Myeloid dendritic cell resting,CIBERSORT-ABS,0.034652637,0.501209116,0.685463134
STAD,Myeloid dendritic cell,MCPCOUNTER,-0.150355226,0.003344816,0.018910064
STAD,Myeloid dendritic cell,QUANTISEQ,-0.323828156,1.06E-10,6.34E-09
STAD,Myeloid dendritic cell,TIMER,-0.04605805,0.371232363,0.580391504
STAD,Myeloid dendritic cell,XCELL,-0.041815673,0.416946356,0.61555014
STAD,NK cell activated,CIBERSORT,-0.07694222,0.134868895,0.301669366
STAD,NK cell activated,CIBERSORT-ABS,-0.088394531,0.085698346,0.216659904
STAD,NK cell resting,CIBERSORT,0.109799802,0.032599755,0.114609199
STAD,NK cell resting,CIBERSORT-ABS,0.124915886,0.014959496,0.063181873
STAD,NK cell,EPIC,-0.049671954,0.334839916,0.558890856
STAD,NK cell,MCPCOUNTER,0.022081387,0.668279118,0.826998084
STAD,NK cell,QUANTISEQ,0.199216264,9.43E-05,0.000904584
STAD,NK cell,XCELL,0.022096444,0.668066385,0.826998084
STAD,Plasmacytoid dendritic cell,XCELL,0.127867529,0.012726689,0.056405942
STAD,MDSC,TIDE,0.075353003,0.143138452,0.212056966
UCEC,T cell CD4+,(non-regulatory)_QUANTISEQ,0.196228642,0.066902899,0.165940261
UCEC,T cell CD4+,(non-regulatory)_XCELL,0.11430479,0.288952409,0.48567996
UCEC,T cell CD4+,central memory_XCELL,0.053663362,0.619494314,0.756359337
UCEC,T cell CD4+,effector memory_XCELL,-0.228963632,0.031892873,0.099467872
UCEC,T cell CD4+,memory activated_CIBERSORT,-0.066754974,0.536606174,0.690690612
UCEC,T cell CD4+,memory activated_CIBERSORT-ABS,-0.067145665,0.534219371,0.690690612
UCEC,T cell CD4+,memory resting_CIBERSORT,0.03832605,0.722949321,0.841881834
UCEC,T cell CD4+,memory resting_CIBERSORT-ABS,0.109725362,0.308832696,0.504068129
UCEC,T cell CD4+,memory_XCELL,0.249873004,0.018880807,0.061952648
UCEC,T cell CD4+,naive_CIBERSORT,-0.061519471,0.569090173,0.714196831
UCEC,T cell CD4+,naive_CIBERSORT-ABS,-0.05800601,0.591394291,0.736320955
UCEC,T cell CD4+,naive_XCELL,-0.144487177,0.179243031,0.345330611
UCEC,T cell CD4+,Th1_XCELL,-0.323208155,0.002129898,0.010321813
UCEC,T cell CD4+,Th2_XCELL,0.213023159,0.046294654,0.127919439
UCEC,T cell CD4+,EPIC,0.322163441,0.002205985,0.010608934
UCEC,T cell CD4+,TIMER,0.027971087,0.795873733,0.889007893
UCEC,B cell memory,CIBERSORT,-0.242064136,0.023074451,0.071280258
UCEC,B cell memory,CIBERSORT-ABS,-0.231484062,0.030004538,0.086050751
UCEC,B cell memory,XCELL,-0.068362003,0.526822415,0.685590814
UCEC,B cell naive,CIBERSORT,0.29983087,0.004538979,0.019489399
UCEC,B cell naive,CIBERSORT-ABS,0.324037637,0.002071179,0.01028821
UCEC,B cell naive,XCELL,-0.007168794,0.947148104,0.975022335
UCEC,B cell plasma,CIBERSORT,0.062285942,0.564277447,0.715944674
UCEC,B cell plasma,CIBERSORT-ABS,0.09472351,0.380021795,0.550115757
UCEC,B cell plasma,XCELL,-0.126316676,0.240909356,0.405966985
UCEC,B cell,EPIC,-0.086025474,0.425491229,0.593345567
UCEC,B cell,MCPCOUNTER,0.065286316,0.545625351,0.700464978
UCEC,B cell,QUANTISEQ,0.0012317,0.990912958,0.997092493
UCEC,B cell,TIMER,-0.133071447,0.216466993,0.373897533
UCEC,B cell,XCELL,-0.025782118,0.81154048,0.896469135
UCEC,Class-switched memory B cell,XCELL,0.033449942,0.757026219,0.856862886
UCEC,T cell regulatory (Tregs),CIBERSORT,-0.282357374,0.00769101,0.028953314
UCEC,T cell regulatory (Tregs),CIBERSORT-ABS,-0.186947847,0.081148194,0.185760925
UCEC,T cell regulatory (Tregs),QUANTISEQ,-0.088177276,0.413961592,0.58586743
UCEC,T cell regulatory (Tregs),XCELL,0.013680557,0.899331453,0.945355331
UCEC,Macrophage/Monocyte,MCPCOUNTER,0.035418973,0.743205421,0.843229044
UCEC,Monocyte,CIBERSORT,-0.163766289,0.127356102,0.252069961
UCEC,Monocyte,CIBERSORT-ABS,-0.086925365,0.42064725,0.590143347
UCEC,Monocyte,MCPCOUNTER,0.035418973,0.743205421,0.843229044
UCEC,Monocyte,QUANTISEQ,-0.094327837,0.382024197,0.555565677
UCEC,Monocyte,XCELL,-0.025662008,0.812402335,0.894955921
UCEC,Neutrophil,CIBERSORT,0.368543311,0.000410824,0.002130035
UCEC,Neutrophil,CIBERSORT-ABS,0.371953465,0.000359346,0.001959721
UCEC,Neutrophil,MCPCOUNTER,0.337083098,0.001320691,0.005779539
UCEC,Neutrophil,QUANTISEQ,0.240299134,0.024125361,0.068498792
UCEC,Neutrophil,TIMER,0.1802052,0.09294018,0.201511209
UCEC,Neutrophil,XCELL,0.066737303,0.536714251,0.684999892
UCEC,Macrophage M0,CIBERSORT,0.013083483,0.903703533,0.944307834
UCEC,Macrophage M0,CIBERSORT-ABS,0.077938154,0.470436005,0.648877249
UCEC,Macrophage M1,CIBERSORT,0.024178793,0.8230633,0.908645057
UCEC,Macrophage M1,CIBERSORT-ABS,0.079503666,0.461540013,0.64285648
UCEC,Macrophage M1,QUANTISEQ,0.345345176,0.000983134,0.006081244
UCEC,Macrophage M1,XCELL,-0.211771025,0.047623814,0.132903667
UCEC,Macrophage M2,CIBERSORT,-0.18188456,0.08988391,0.215721384
UCEC,Macrophage M2,CIBERSORT-ABS,0.014754021,0.891478637,0.938398566
UCEC,Macrophage M2,QUANTISEQ,-0.138081279,0.199508945,0.363846099
UCEC,Macrophage M2,TIDE,-0.239551514,3.42E-05,0.000311059
UCEC,Macrophage M2,XCELL,-0.213853872,0.045429886,0.129274203
UCEC,Macrophage,EPIC,-0.18636236,0.082122317,0.206164812
UCEC,Macrophage,TIMER,-0.317340103,0.002589965,0.012737533
UCEC,Macrophage,XCELL,-0.100456184,0.351725883,0.535623171
UCEC,Macrophage/Monocyte,MCPCOUNTER,0.035418973,0.743205421,0.867554966
UCEC,Myeloid dendritic cell activated,CIBERSORT,0.294945978,0.005276954,0.027859213
UCEC,Myeloid dendritic cell activated,CIBERSORT-ABS,0.313905787,0.002898893,0.017060696
UCEC,Myeloid dendritic cell activated,XCELL,-0.270892235,0.010686637,0.049185932
UCEC,Myeloid dendritic cell resting,CIBERSORT,-0.124306299,0.248539024,0.449498789
UCEC,Myeloid dendritic cell resting,CIBERSORT-ABS,-0.122810666,0.254321783,0.45765173
UCEC,Myeloid dendritic cell,MCPCOUNTER,0.019351208,0.857975719,0.935113682
UCEC,Myeloid dendritic cell,QUANTISEQ,0.090276582,0.402890271,0.607721039
UCEC,Myeloid dendritic cell,TIMER,0.356871322,0.000642528,0.004613353
UCEC,Myeloid dendritic cell,XCELL,0.029658836,0.783848894,0.890511877
UCEC,NK cell activated,CIBERSORT,-0.139127717,0.196090632,0.390008514
UCEC,NK cell activated,CIBERSORT-ABS,0.004668444,0.965567666,0.981863226
UCEC,NK cell resting,CIBERSORT,0.026403493,0.807085386,0.902328584
UCEC,NK cell resting,CIBERSORT-ABS,0.027750085,0.797451925,0.894641378
UCEC,NK cell,EPIC,0.00833697,0.938551308,0.973814797
UCEC,NK cell,MCPCOUNTER,0.093209624,0.387717465,0.596105225
UCEC,NK cell,QUANTISEQ,-0.058457326,0.58850727,0.768269491
UCEC,NK cell,XCELL,-0.064555014,0.55014373,0.726454732
UCEC,Plasmacytoid dendritic cell,XCELL,-0.103197144,0.33867283,0.55954112
UCEC,MDSC,TIDE,0.216084204,0.000193709,0.000860931
